file_name,fps,width,height,num_frames,label
2p0_v108_000437_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_000447_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_000627_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_000911_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_001500_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_002025_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_003121_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_003614_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_003730_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_005108_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_010620_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_010933_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_011304_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_011616_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_012320_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v108_013929_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v111_000349_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v111_001556_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v111_001702_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v111_001723_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v111_001904_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v111_004247_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v111_010419_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v111_010843_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v111_011734_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v111_011840_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v111_012000_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v111_012622_x264_t_2_padded.avi,29,320,240,90,2p0
2p0_v112_000511_x264_t_2_padded.avi,29,320,240,90,2p0
